run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783610691.5825262,3662.400070254,,,,,,,,,,,,,,,,
streamweave,1783610691.7827597,3662.600303728,0,0,0,0,71.57338526020021,25.60914494292006,0,0,244.946,241.76,241.061,242.876,670.726,620.279,241.974,243.785
streamweave,1783610706.5822198,3677.399763786,,,,,,,,,,,,,,,,
streamweave,1783610706.7825384,3677.600082407,0,0,0,0,0,0,0,0,244.906,241.722,239.734,240.555,244.997,243.251,239.973,242.325
streamweave,1783610721.5819924,3692.39953648,,,,,,,,,,,,,,,,
streamweave,1783610721.782172,3692.599715846,0,0,0,0,0,0,0,0,244.896,241.696,239.033,239.541,243.801,242.223,239.273,241.686
streamweave,1783610736.5827289,3707.40027289,,,,,,,,,,,,,,,,
streamweave,1783610736.7831454,3707.600689432,59.79225137911918,26.14091559771996,0,0,0,0,0,0,245.029,241.719,238.559,239.112,243.28,241.793,239.099,241.252
streamweave,1783610751.582676,3722.400219965,,,,,,,,,,,,,,,,
streamweave,1783610751.7832222,3722.600766122,91.40507064214299,90.71842232265371,68.57546205029462,73.31465856900475,68.7008757525594,67.11087778578421,68.75624402323832,71.77408835739085,891.666,890.513,636.278,657.834,644.603,654.403,639.529,650.972
streamweave,1783610766.5818753,3737.399419232,,,,,,,,,,,,,,,,
streamweave,1783610766.833544,3737.651087953,93.47109529996743,90.19808984688883,76.27526959383866,72.56573160149549,73.68823989576015,75.80828697862307,73.57550180113847,75.68801981725146,896.184,899.287,669.159,653.09,670.475,669.068,655.33,680.994
streamweave,1783610781.5824895,3752.400033554,,,,,,,,,,,,,,,,
streamweave,1783610781.8293421,3752.646886117,0,0,66.68515481137874,60.45032608603857,66.40277798375443,65.98656005525343,66.30593413679186,67.11000284614089,365.557,349.126,550.86,525.224,566.258,552.058,560.981,557.721
streamweave,1783610796.5821316,3767.399675578,,,,,,,,,,,,,,,,
streamweave,1783610796.7825801,3767.600124058,91.60421318765121,91.8340494751218,64.88568849788126,66.77876231243913,69.1362302526567,66.49680607786743,66.13472588794076,68.18855977458075,890.375,887.02,537.3,555.641,604.84,551.415,562.273,594.52
streamweave,1783610811.5828247,3782.400368799,,,,,,,,,,,,,,,,
streamweave,1783610811.7895596,3782.607103633,89.77175422450115,92.3109176237024,69.81398455808421,71.07931588587319,72.18382898836056,72.60150619243207,68.20853792578784,69.3387212708472,904.903,870.66,650.158,654.818,672.6,684.73,632.035,663.718
streamweave,1783610826.5821843,3797.399728407,,,,,,,,,,,,,,,,
streamweave,1783610826.7826157,3797.600159739,68.56697916927747,34.99382389840625,75.72882664414574,71.57031258022691,72.85788862983254,73.92798804292396,71.75657375687582,65.78304291095313,250.847,270.906,650.748,644.161,647.831,668.526,651.611,631.918
streamweave,1783610841.5821338,3812.399677689,,,,,,,,,,,,,,,,
streamweave,1783610841.8114228,3812.628966729,0,0,67.61140996268834,66.574162279606,61.99156961037602,66.39683047746196,66.7497959784892,65.14791413790674,349.952,322.858,556.635,627.057,522.64,555.615,570.227,544.862
